"","date","output_per_hour","hours","GDPDEF","dyn","dh","pi"
"52",1981-04-01,49.93,67.425,42.715,-1.30132962437943,0.0771524838341975,1.96223789978096
"53",1981-07-01,50.397,67.387,43.519,0.930962498366883,-0.0563748049229318,1.86474777389316
"54",1981-10-01,49.862,67.093,44.271,-1.06724598907717,-0.437240434843744,1.71322108069085
"55",1982-01-01,49.612,65.964,44.88,-0.502644965233179,-1.69705779616027,1.36624260650184
"56",1982-04-01,49.626,66.268,45.463,0.0282149984740965,0.45979874097668,1.29065471135252
"57",1982-07-01,49.724,65.795,46.108,0.1972823991645,-0.716327847418707,1.40876624108
"58",1982-10-01,50.161,65.182,46.586,0.875011840061957,-0.936049040446552,1.03135960703966
"59",1983-01-01,50.843,65.578,46.938,1.35046209048251,0.605691665104313,0.752751512183591
"60",1983-04-01,51.956,66.343,47.286,2.16547533101239,1.15979802335309,0.738668666856901
"61",1983-07-01,52.08,67.669,47.789,0.2383791355276,1.97899184555697,1.05812188918892
"62",1983-10-01,52.38,68.939,48.151,0.574384117925231,1.8593883078748,0.754641896900043
"63",1984-01-01,52.633,70.258,48.639,0.481846037163702,1.89521251171625,1.00837717755846
"64",1984-04-01,52.926,71.173,49.055,0.555141205348209,1.29393522814762,0.851643937931224
"65",1984-07-01,53.149,71.482,49.491,0.420457843082689,0.433213673913446,0.884871724654301
"66",1984-10-01,53.208,71.947,49.861,0.110947104660797,0.648406708782812,0.744829918963275
"67",1985-01-01,53.378,72.522,50.354,0.318991507615873,0.796022726324441,0.983892585029311
"68",1985-04-01,53.546,73.017,50.678,0.314242150026844,0.680232664377201,0.641383147328689
"69",1985-07-01,54.228,73.222,50.984,1.26562826585959,0.280363151116969,0.60199666368832
"70",1985-10-01,54.445,73.589,51.269,0.399363758088134,0.499963578303575,0.557442300982203
"71",1986-01-01,55.09,73.483,51.524,1.17771936866005,-0.144147109380821,0.496143751202638
"72",1986-04-01,55.522,73.284,51.719,0.78111271198642,-0.271178292054675,0.377750030277024
"73",1986-07-01,55.759,73.655,51.931,0.425949368409384,0.504972523790403,0.409069552590857
"74",1986-10-01,55.639,74.209,52.214,-0.215443807637516,0.749340735147364,0.543474380080422
"75",1987-01-01,55.376,75.133,52.548,-0.473810731921898,1.23744397521177,0.63763794439371
"76",1987-04-01,55.749,75.564,52.912,0.671318606663451,0.572010292411296,0.690311863217552
"77",1987-07-01,55.761,76.09,53.313,0.0215227334702028,0.693687089382511,0.755004763202205
"78",1987-10-01,56.319,76.876,53.738,0.995725571600925,1.02768839837273,0.794018239707039
"79",1988-01-01,56.533,76.947,54.159,0.379258243556091,0.0923138997966255,0.780377835410118
"80",1988-04-01,56.686,78.029,54.686,0.270272821938722,1.39636792926749,0.968357054760416
"81",1988-07-01,56.806,78.239,55.34,0.211468728578268,0.268769199598839,1.18882391885453
"82",1988-10-01,56.869,79.117,55.818,0.110842324961791,1.11595250488303,0.860042365569669
"83",1989-01-01,56.967,79.91,56.4,0.172177561070619,0.99732318787531,1.03727604895365
